date,type,rate,amount,total
2018-01-21 00:00:30,sell,0.00468253,1.82090000,0.00852641
2018-01-21 00:01:16,buy,0.00469000,0.84878891,0.00398081
2018-01-21 00:05:15,buy,0.00469000,0.27028869,0.00126765
2018-01-21 00:09:21,buy,0.00470900,0.20757854,0.00097748
2018-01-21 00:11:03,sell,0.00468253,5.62791206,0.02635286
2018-01-21 00:15:07,buy,0.00470900,0.08891109,0.00041868
2018-01-21 00:16:59,sell,0.00468262,2.96644949,0.01389075
2018-01-21 00:17:07,buy,0.00470900,0.23373752,0.00110066
2018-01-21 00:20:54,buy,0.00470900,0.36727610,0.00172950
2018-01-21 00:20:54,buy,0.00470900,0.18783068,0.00088449
2018-01-21 00:20:56,sell,0.00470900,0.03760000,0.00017705
2018-01-21 00:21:03,sell,0.00470901,0.03760000,0.00017705
2018-01-21 00:21:23,sell,0.00470901,1.06335288,0.00500733
2018-01-21 00:25:59,buy,0.00472512,23.86979489,0.11278764
2018-01-21 00:28:51,sell,0.00472516,0.03760000,0.00017766
2018-01-21 00:28:52,buy,0.00472519,0.11085170,0.00052379
2018-01-21 00:28:52,buy,0.00473797,5.19914830,0.02463340
2018-01-21 00:28:54,sell,0.00472516,0.03760000,0.00017766
2018-01-21 00:29:54,sell,0.00472516,0.03760000,0.00017766
2018-01-21 00:30:54,buy,0.00473760,3.20597932,0.01518864
2018-01-21 00:35:07,buy,0.00473797,0.10773601,0.00051044
2018-01-21 00:38:28,sell,0.00472532,0.02116259,0.00010000
2018-01-21 00:41:09,sell,0.00472532,0.01537738,0.00007266
2018-01-21 00:41:29,sell,0.00472516,0.94720000,0.00447567
2018-01-21 00:41:35,sell,0.00470900,0.44316539,0.00208686
2018-01-21 00:52:09,buy,0.00470997,0.70668099,0.00332844
2018-01-21 00:56:53,sell,0.00470900,1.68187470,0.00791994
2018-01-21 00:58:12,sell,0.00468267,11.28080200,0.05282427
2018-01-21 00:58:12,sell,0.00468267,9.61227477,0.04501111
2018-01-21 00:58:12,sell,0.00468264,1.02057888,0.00477900
